SCHEDULED TIME,ARRIVAL TIME,AIRLINE,FLIGHT,FROM,TERMINAL,BELT,STATUS
13:00,12:10,AIRASIA,AK903,Kuala Terengganu,1,19,Landed
13:00,12:47,SINGAPORE AIRLINES LTD,SQ212,Sydney,3,42,Landed
13:00,13:00,SILKAIR (SINGAPORE) PTE LTD,MI111,Solo,2,31,Landed
13:00,13:07,SINGAPORE AIRLINES LTD,SQ941,Bali-Denpasar,2,35,Landed
13:05,12:56,SINGAPORE AIRLINES LTD,SQ973,Bangkok (Suvarnabhumi),3,44,Landed
13:05,13:42,SILKAIR (SINGAPORE) PTE LTD,MI751,Phuket,2,36,Landed
13:10,12:53,VALUAIR,VF282,Medan,1,21,Landed
13:10,13:22,FIREFLY,FY3543,Ipoh,2,35,Landed
13:15,13:20,CHINA AIRLINES,CI753,Taipei,1,22,Landed
13:20,14:59,AIRASIA,AK753,Penang,1,16,Landed
13:25,,BERJAYA AIR SDN. BHD,J8368,Redang,2,36,Cancelled
13:25,13:03,SINGAPORE AIRLINES LTD,SQ827,Shanghai,3,43,Landed
13:35,13:53,QATAR AIRWAYS,QR940,Doha,3,43,Landed
13:40,13:35,PHILIPPINE AIRLINES,PR507,Manila,1,19,Landed
13:40,13:44,SINGAPORE AIRLINES LTD,SQ931,Surabaya,3,42,Landed
13:40,13:46,AIRASIA,AK713,Kuala Lumpur,1,16,Landed
13:45,,JETSTAR,3K134,Perth,1,,Cancelled
13:45,,INDONESIA AIRASIA,QZ662,Semarang,1,17,Cancelled
13:45,13:41,SINGAPORE AIRLINES LTD,SQ455,Jeddah via Riyadh,3,41,Landed
13:50,,CHINA EASTERN AIRWAYS,MU2005,Nanchang via Nanning,3,,Cancelled
13:50,13:48,THAI AIRASIA,FD376,Phuket,1,20,Landed
13:55,14:11,INDONESIA AIRASIA,QZ361,Bandung,1,16,Landed
14:00,13:49,TIGERAIR SINGAPORE,TR2107,Bangkok (Suvarnabhumi),2,35,Landed
14:00,14:01,LION MENTARI AIRLINES,JT154,Jakarta,3,44,Landed
14:00,14:13,INDONESIA AIRASIA,QZ264,Jakarta,1,19,Landed
14:00,14:25,SRI LANKAN AIRLINES LTD,UL302,Colombo,3,48,Landed
14:05,13:37,THAI AIRASIA,FD357,Bangkok (Don Mueang),1,18,Landed
14:05,13:54,SINGAPORE AIRLINES LTD,SQ181,Brunei,2,31,Landed
14:05,14:08,SINGAPORE AIRLINES LTD,SQ957,Jakarta,2,32,Landed
14:05,14:19,EMIRATES AIR,EK432,Dubai,1,18,Landed
14:10,14:05,FIREFLY,FY3573,Kuantan,2,38,Landed
14:10,14:06,JETSTAR,3K762,Manila,1,22,Landed
14:10,14:45,SILKAIR (SINGAPORE) PTE LTD,MI391,Kota Kinabalu,2,33,Landed
14:15,13:39,AIR FRANCE,AF254,Paris,1,21,Landed
14:15,14:21,SILKAIR (SINGAPORE) PTE LTD,MI347,Penang,2,31,Landed
14:20,14:09,SINGAPORE AIRLINES LTD,SQ607,Seoul,2,36,Landed
14:20,14:15,GARUDA INDONESIA,GA828,Jakarta,3,41,Landed
14:20,14:24,TIGERAIR SINGAPORE,TR2903,Macau,2,37,Landed
14:25,13:59,THAI AIRASIA,FD330,Krabi,1,17,Landed
14:25,14:29,JETSTAR INTERNATIONAL,JQ116,Perth via Bali-Denpasar,1,21,Landed
14:30,14:23,THAI AIRWAYS INTL LTD,TG413,Bangkok (Suvarnabhumi),1,17,Landed
