GANTRY NO.,LOCATION,START TIME,END TIME,PRICE
45,PIE Slip Road into Bendeemer Rd,925,930,0.5
42,PIE slip road into CTE,925,930,1
52,Citybound AYE - After Jurong Town Hall,925,930,0.5
53,Citybound AYE - Clementi Avenue 6 into AYE,925,930,0.5
74,Citybound AYE - Clementi Avenue 2 into AYE,925,930,0.5
51,CTE northbound between Jalan Bahagia and PIE,1730,1735,1
52,Citybound AYE - After Jurong Town Hall,1730,1735,0.5
53,Citybound AYE - Clementi Avenue 6 into AYE,1730,1735,0.5
74,Citybound AYE - Clementi Avenue 2 into AYE,1730,1735,0.5
51,CTE northbound between Jalan Bahagia and PIE,1735,1755,2
52,Citybound AYE - After Jurong Town Hall,1735,1755,1
53,Citybound AYE - Clementi Avenue 6 into AYE,1735,1755,1
74,Citybound AYE - Clementi Avenue 2 into AYE,1735,1755,1
51,CTE northbound between Jalan Bahagia and PIE,1755,1800,2
52,Citybound AYE - After Jurong Town Hall,1755,1800,1
53,Citybound AYE - Clementi Avenue 6 into AYE,1755,1800,1
74,Citybound AYE - Clementi Avenue 2 into AYE,1755,1800,1
51,CTE northbound between Jalan Bahagia and PIE,1800,1805,2
46,CTE northbound between PIE and Braddell Road,1800,1805,0.5
67,PIE to CTE northbound before Braddell Road,1800,1805,0.5
92,MCE eastbound after entry from Maxwell Road,1800,1805,0.5
93,MCE eastbound on slip road after Marina Boulevard,1800,1805,0.5
52,Citybound AYE - After Jurong Town Hall,1800,1805,1
53,Citybound AYE - Clementi Avenue 6 into AYE,1800,1805,1
74,Citybound AYE - Clementi Avenue 2 into AYE,1800,1805,1
41,Tuasbound AYE - After North Buona Vista,1800,1805,0.5
51,CTE northbound between Jalan Bahagia and PIE,1805,1825,2
46,CTE northbound between PIE and Braddell Road,1805,1825,0.5
67,PIE to CTE northbound before Braddell Road,1805,1825,0.5
92,MCE eastbound after entry from Maxwell Road,1805,1825,1
93,MCE eastbound on slip road after Marina Boulevard,1805,1825,1
52,Citybound AYE - After Jurong Town Hall,1805,1825,1
53,Citybound AYE - Clementi Avenue 6 into AYE,1805,1825,1
74,Citybound AYE - Clementi Avenue 2 into AYE,1805,1825,1
41,Tuasbound AYE - After North Buona Vista,1805,1825,1
51,CTE northbound between Jalan Bahagia and PIE,1825,1830,1.5
46,CTE northbound between PIE and Braddell Road,1825,1830,0.5
67,PIE to CTE northbound before Braddell Road,1825,1830,0.5
92,MCE eastbound after entry from Maxwell Road,1825,1830,1
93,MCE eastbound on slip road after Marina Boulevard,1825,1830,1
52,Citybound AYE - After Jurong Town Hall,1825,1830,1
53,Citybound AYE - Clementi Avenue 6 into AYE,1825,1830,1
74,Citybound AYE - Clementi Avenue 2 into AYE,1825,1830,1
41,Tuasbound AYE - After North Buona Vista,1825,1830,1
51,CTE northbound between Jalan Bahagia and PIE,1830,1835,1
46,CTE northbound between PIE and Braddell Road,1830,1835,1
67,PIE to CTE northbound before Braddell Road,1830,1835,1
73,ECP Eastbound before KPE,1830,1835,1.5
92,MCE eastbound after entry from Maxwell Road,1830,1835,2
93,MCE eastbound on slip road after Marina Boulevard,1830,1835,2
52,Citybound AYE - After Jurong Town Hall,1830,1835,1
53,Citybound AYE - Clementi Avenue 6 into AYE,1830,1835,1
74,Citybound AYE - Clementi Avenue 2 into AYE,1830,1835,1
41,Tuasbound AYE - After North Buona Vista,1830,1835,1.5
51,CTE northbound between Jalan Bahagia and PIE,1835,1855,1
46,CTE northbound between PIE and Braddell Road,1835,1855,1.5
67,PIE to CTE northbound before Braddell Road,1835,1855,1.5
73,ECP Eastbound before KPE,1835,1855,3
92,MCE eastbound after entry from Maxwell Road,1835,1855,3
93,MCE eastbound on slip road after Marina Boulevard,1835,1855,3
52,Citybound AYE - After Jurong Town Hall,1835,1855,1
53,Citybound AYE - Clementi Avenue 6 into AYE,1835,1855,1
74,Citybound AYE - Clementi Avenue 2 into AYE,1835,1855,1
41,Tuasbound AYE - After North Buona Vista,1835,1855,2
51,CTE northbound between Jalan Bahagia and PIE,1855,1900,1
46,CTE northbound between PIE and Braddell Road,1855,1900,1.5
67,PIE to CTE northbound before Braddell Road,1855,1900,1.5
73,ECP Eastbound before KPE,1855,1900,2
92,MCE eastbound after entry from Maxwell Road,1855,1900,2
93,MCE eastbound on slip road after Marina Boulevard,1855,1900,2
52,Citybound AYE - After Jurong Town Hall,1855,1900,0.5
53,Citybound AYE - Clementi Avenue 6 into AYE,1855,1900,0.5
74,Citybound AYE - Clementi Avenue 2 into AYE,1855,1900,0.5
41,Tuasbound AYE - After North Buona Vista,1855,1900,1
51,CTE northbound between Jalan Bahagia and PIE,1900,1905,1
46,CTE northbound between PIE and Braddell Road,1900,1905,1.5
67,PIE to CTE northbound before Braddell Road,1900,1905,1.5
73,ECP Eastbound before KPE,1900,1905,1
92,MCE eastbound after entry from Maxwell Road,1900,1905,1
93,MCE eastbound on slip road after Marina Boulevard,1900,1905,1
51,CTE northbound between Jalan Bahagia and PIE,1905,1925,1
46,CTE northbound between PIE and Braddell Road,1905,1925,1.5
67,PIE to CTE northbound before Braddell Road,1905,1925,1.5
73,ECP Eastbound before KPE,1905,1925,1
